Indices,GC,LC
"(0, 0, 0, 1, 1, 1, 2, 0)",9.572331757825685,1.625
"(0, 0, 0, 1, 1, 1, 2, 1)",9.888882928183968,1.75
"(0, 0, 0, 1, 1, 1, 2, 2)",8.926126825350275,1.875
"(0, 0, 0, 1, 1, 1, 2, 3)",9.849315829312635,2.0
"(0, 0, 0, 1, 1, 1, 3, 0)",9.689288884563018,1.75
"(0, 0, 0, 1, 1, 1, 3, 1)",10.332659907741645,1.875
"(0, 0, 0, 1, 1, 1, 3, 2)",9.461088250859767,2.0
"(0, 0, 0, 1, 1, 1, 3, 3)",10.349011330081414,2.125
"(0, 0, 0, 1, 1, 2, 0, 0)",8.153239073457893,1.5
"(0, 0, 0, 1, 1, 2, 0, 1)",9.291695288383353,1.625
"(0, 0, 0, 1, 1, 2, 0, 2)",8.809158823454446,1.75
"(0, 0, 0, 1, 1, 2, 0, 3)",9.747547693775338,1.875
"(0, 0, 0, 1, 1, 2, 1, 0)",7.5574348124139945,1.625
"(0, 0, 0, 1, 1, 2, 1, 1)",8.892379883484947,1.75
"(0, 0, 0, 1, 1, 2, 1, 2)",8.101714987266147,1.875
"(0, 0, 0, 1, 1, 2, 1, 3)",8.768322241133788,2.0
"(0, 0, 0, 1, 1, 2, 2, 0)",8.351720908044221,1.75
"(0, 0, 0, 1, 1, 2, 2, 1)",9.283198202356218,1.875
"(0, 0, 0, 1, 1, 2, 2, 2)",8.173536909269352,2.0
"(0, 0, 0, 1, 1, 2, 2, 3)",9.163340545309124,2.125
"(0, 0, 0, 1, 1, 2, 3, 0)",8.14589691898368,1.875
"(0, 0, 0, 1, 1, 2, 3, 1)",9.40419406611602,2.0
